year,quarter,price,totexp,"year, quarter",Average Price per quarter,Average total exp per quarter
2004,1,1.177971,"$12,662,660",,,
2004,1,1.227372,"$3,467,910",,,
2004,1,1.238798,"$2,130,831",,,
2004,1,1.273655,"$14,013,953",,,
2004,1,1.293145,"$21,272,269",,,
2004,1,1.401482,"$12,677,200",,,
2004,1,1.414134,"$9,932,498",,,
2004,1,1.432854,"$5,705,837","2004, Q1",1.307426375,"$10,232,895"
2004,2,1.109581,"$8,704,828",,,
2004,2,1.181751,"$14,298,277",,,
2004,2,1.253294,"$2,602,729",,,
2004,2,1.317123,"$2,145,280",,,
2004,2,1.329837,"$20,651,613",,,
2004,2,1.356888,"$14,635,983",,,
2004,2,1.403086,"$4,790,647",,,
2004,2,1.441103,"$9,351,251","2004, Q2",1.299082875,"$9,647,576"
2004,3,1.00913,"$2,271,626",,,
2004,3,1.132116,"$10,987,156",,,
2004,3,1.317746,"$17,283,755",,,
2004,3,1.328592,"$10,991,786",,,
2004,3,1.347953,"$9,183,751",,,
2004,3,1.387887,"$12,834,772",,,
2004,3,1.423847,"$4,492,646",,,
2004,3,1.468489,"$2,555,058","2004, Q3",1.30197,"$8,825,069"
2004,4,1.230828,"$13,986,285",,,
2004,4,1.374539,"$12,104,003",,,
2004,4,1.390046,"$16,460,208",,,
2004,4,1.42927,"$12,006,197",,,
2004,4,1.46423,"$18,536,014",,,
2004,4,1.487962,"$1,960,164",,,
2004,4,1.504834,"$3,317,907",,,
2004,4,1.571471,"$5,612,290","2004, Q4",1.4316475,"$10,497,883"
2005,1,1.068788,"$14,244,901",,,
2005,1,1.13311,"$5,037,210",,,
2005,1,1.197718,"$15,253,590",,,
2005,1,1.204279,"$17,061,180",,,
2005,1,1.210634,"$4,666,814",,,
2005,1,1.249427,"$3,204,736",,,
2005,1,1.251833,"$9,575,005",,,
2005,1,1.34599,"$20,013,553","2005, Q1",1.207722375,"$11,132,124"
2005,2,0.9131669,"$2,655,466",,,
2005,2,1.107957,"$10,734,437",,,
2005,2,1.150015,"$12,194,670",,,
2005,2,1.235751,"$4,663,871",,,
2005,2,1.307477,"$17,093,439",,,
2005,2,1.343426,"$10,038,755",,,
2005,2,1.382133,"$13,653,187",,,
2005,2,1.687089,"$2,169,038","2005, Q2",1.265876863,"$9,150,358"
2005,3,1.127976,"$10,665,898",,,
2005,3,1.184525,"$14,647,382",,,
2005,3,1.201901,"$3,570,532",,,
2005,3,1.20793,"$3,185,908",,,
2005,3,1.25181,"$14,513,638",,,
2005,3,1.261942,"$15,534,215",,,
2005,3,1.265211,"$9,163,524",,,
2005,3,1.445128,"$2,973,633","2005, Q3",1.243302875,"$9,281,841"
2005,4,1.197608,"$5,186,566",,,
2005,4,1.207761,"$16,222,640",,,
2005,4,1.225799,"$5,660,487",,,
2005,4,1.292232,"$16,503,924",,,
2005,4,1.297786,"$16,174,865",,,
2005,4,1.371242,"$25,248,575",,,
2005,4,1.424231,"$11,815,054",,,
2005,4,1.512424,"$3,675,894","2005, Q4",1.316135375,"$12,561,000"
2006,1,1.159917,"$13,283,404",,,
2006,1,1.165308,"$15,133,876",,,
2006,1,1.221793,"$19,774,618",,,
2006,1,1.228634,"$3,905,798",,,
2006,1,1.281697,"$8,215,867",,,
2006,1,1.340746,"$18,620,724",,,
2006,1,1.359636,"$4,842,758",,,
2006,1,1.400637,"$2,989,789","2006, Q1",1.269796,"$10,845,854"
2006,2,1.165708,"$10,703,256",,,
2006,2,1.227647,"$17,680,107",,,
2006,2,1.287732,"$22,165,872",,,
2006,2,1.289118,"$3,332,190",,,
2006,2,1.345187,"$5,801,462",,,
2006,2,1.346289,"$17,577,830",,,
2006,2,1.35979,"$8,543,186","2006, Q2",1.288781571,"$12,257,700"
2006,3,1.195561,"$12,057,352",,,
2006,3,1.222255,"$16,043,075",,,
2006,3,1.238649,"$12,681,885",,,
2006,3,1.381012,"$9,198,189",,,
2006,3,1.424387,"$2,529,827",,,
2006,3,1.464665,"$17,180,748",,,
2006,3,1.529123,"$6,223,921","2006, Q3",1.350807429,"$10,845,000"
2006,4,1.272895,"$18,580,920",,,
2006,4,1.277359,"$6,212,409",,,
2006,4,1.350349,"$17,682,839",,,
2006,4,1.388359,"$7,211,675",,,
2006,4,1.393997,"$18,546,964",,,
2006,4,1.398534,"$3,960,963",,,
2006,4,1.464706,"$12,367,555",,,
2006,4,1.495582,"$25,943,881","2006, Q4",1.380222625,"$13,813,401"
2007,1,1.168471,"$17,350,427",,,
2007,1,1.218296,"$3,560,559",,,
2007,1,1.319444,"$16,398,256",,,
2007,1,1.401889,"$22,246,033",,,
2007,1,1.410535,"$6,996,612",,,
2007,1,1.494948,"$16,343,929",,,
2007,1,1.524014,"$10,054,307",,,
2007,1,1.861274,"$3,151,090","2007, Q1",1.424858875,"$12,012,652"
2007,2,1.191534,"$13,377,008",,,
2007,2,1.267591,"$2,955,184",,,
2007,2,1.284002,"$12,546,901",,,
2007,2,1.353841,"$15,940,637",,,
2007,2,1.40103,"$6,030,800",,,
2007,2,1.407205,"$9,287,354",,,
2007,2,1.487476,"$20,594,999",,,
2007,2,1.539102,"$3,455,105","2007, Q2",1.366472625,"$10,523,498"
2007,3,1.123247,"$12,562,365",,,
2007,3,1.246807,"$13,365,468",,,
2007,3,1.30185,"$8,005,501",,,
2007,3,1.364081,"$3,048,485",,,
2007,3,1.382049,"$15,989,771",,,
2007,3,1.419659,"$5,787,511",,,
2007,3,1.51684,"$19,798,355",,,
2007,3,1.71635,"$3,591,198","2007, Q3",1.383860375,"$10,268,582"
2007,4,1.250969,"$16,241,324",,,
2007,4,1.337241,"$15,874,326",,,
2007,4,1.384191,"$6,690,469",,,
2007,4,1.464579,"$3,536,504",,,
2007,4,1.508026,"$22,369,219",,,
2007,4,1.557788,"$3,170,786",,,
2007,4,1.587017,"$11,005,213",,,
2007,4,1.675805,"$18,389,157","2007, Q4",1.470702,"$12,159,625"
2008,1,1.159936,"$4,259,996",,,
2008,1,1.172987,"$15,287,474",,,
2008,1,1.213966,"$17,319,145",,,
2008,1,1.400189,"$25,032,606",,,
2008,1,1.493773,"$7,878,047",,,
2008,1,1.53574,"$16,894,963",,,
2008,1,1.557799,"$11,217,251",,,
2008,1,1.571371,"$2,600,391","2008, Q1",1.388220125,"$12,561,234"
2008,2,1.167905,"$3,794,197",,,
2008,2,1.211097,"$15,704,575",,,
2008,2,1.220831,"$7,008,347",,,
2008,2,1.257915,"$14,876,015",,,
2008,2,1.325331,"$2,897,068",,,
2008,2,1.366175,"$9,256,428",,,
2008,2,1.371263,"$22,106,534",,,
2008,2,1.466393,"$16,725,656","2008, Q2",1.29836375,"$11,546,103"
2008,3,1.195502,"$3,037,990",,,
2008,3,1.256794,"$13,771,290",,,
2008,3,1.305786,"$14,579,322",,,
2008,3,1.338755,"$14,785,258",,,
2008,3,1.396857,"$5,846,584",,,
2008,3,1.406429,"$2,510,005",,,
2008,3,1.496373,"$9,243,233",,,
2008,3,1.521718,"$21,468,000","2008, Q3",1.36477675,"$10,655,210"
2008,4,1.354204,"$3,776,684",,,
2008,4,1.361897,"$7,126,529",,,
2008,4,1.370876,"$16,276,431",,,
2008,4,1.407578,"$16,831,450",,,
2008,4,1.477276,"$17,282,889",,,
2008,4,1.568874,"$12,241,120",,,
2008,4,1.618549,"$2,613,814",,,
2008,4,1.667078,"$23,340,188","2008, Q4",1.4782915,"$12,436,138"
2009,1,1.347283,"$18,705,745",,,
2009,1,1.351972,"$18,700,321",,,
2009,1,1.367825,"$18,132,846",,,
2009,1,1.468156,"$4,507,417",,,
2009,1,1.473448,"$26,957,184",,,
2009,1,1.61845,"$12,379,341",,,
2009,1,1.619851,"$3,692,283",,,
2009,1,1.802523,"$6,300,225","2009, Q1",1.5061885,"$13,671,920"
2009,2,1.212812,"$3,142,222",,,
2009,2,1.38006,"$17,328,579",,,
2009,2,1.408205,"$16,083,477",,,
2009,2,1.420266,"$6,358,189",,,
2009,2,1.440651,"$17,940,546",,,
2009,2,1.486521,"$24,864,368",,,
2009,2,1.66945,"$11,479,691",,,
2009,2,1.761697,"$3,449,078","2009, Q2",1.47245775,"$12,580,769"
2009,3,1.238978,"$4,948,823",,,
2009,3,1.326693,"$3,068,461",,,
2009,3,1.35684,"$16,551,151",,,
2009,3,1.363125,"$13,988,190",,,
2009,3,1.390567,"$24,661,284",,,
2009,3,1.510542,"$9,304,567",,,
2009,3,1.715438,"$3,003,058",,,
2009,3,1.71986,"$12,592,558","2009, Q3",1.452755375,"$11,014,762"
2009,4,1.357864,"$17,688,997",,,
2009,4,1.39053,"$4,252,393",,,
2009,4,1.394161,"$17,022,709",,,
2009,4,1.434123,"$15,467,864",,,
2009,4,1.452355,"$25,980,326",,,
2009,4,1.481853,"$11,426,186",,,
2009,4,1.488995,"$2,876,329",,,
2009,4,1.583658,"$4,714,752","2009, Q4",1.447942375,"$12,428,694"
2010,1,1.259144,"$4,897,025",,,
2010,1,1.280051,"$19,298,722",,,
2010,1,1.296324,"$20,784,144",,,
2010,1,1.316289,"$19,037,776",,,
2010,1,1.338808,"$2,377,544",,,
2010,1,1.370349,"$8,632,049",,,
2010,1,1.374288,"$28,560,675",,,
2010,1,1.494734,"$12,048,351","2010, Q1",1.341248375,"$14,454,536"
2010,2,1.264177,"$15,783,131",,,
2010,2,1.267829,"$4,732,446",,,
2010,2,1.351773,"$17,975,738",,,
2010,2,1.375432,"$3,364,870",,,
2010,2,1.424889,"$27,681,706",,,
2010,2,1.435483,"$16,834,266",,,
2010,2,1.544455,"$7,226,285",,,
2010,2,1.553416,"$12,160,892","2010, Q2",1.40218175,"$13,219,917"
2010,3,1.199275,"$3,426,041",,,
2010,3,1.250645,"$15,393,068",,,
2010,3,1.339625,"$3,103,883",,,
2010,3,1.347609,"$16,097,513",,,
2010,3,1.355817,"$7,051,461",,,
2010,3,1.384219,"$14,913,705",,,
2010,3,1.426359,"$24,761,067",,,
2010,3,1.608034,"$11,257,353","2010, Q3",1.363947875,"$12,000,511"
2010,4,1.338186,"$5,493,761",,,
2010,4,1.373281,"$16,005,503",,,
2010,4,1.389175,"$3,830,050",,,
2010,4,1.420481,"$18,912,795",,,
2010,4,1.423051,"$3,170,733",,,
2010,4,1.483284,"$27,799,151",,,
2010,4,1.581914,"$13,369,406",,,
2010,4,1.63497,"$14,749,735","2010, Q4",1.45554275,"$12,916,392"
,,,,,,
,,,,,,
